2026-05-27 10:54:17,802 | DEBUG    | recommender_system | Logger inicialitzat. Fitxer de log: /home/e.bfabregaf/code/prog/projecte/projectePA/logs/log_20260527-105417.txt
2026-05-27 10:54:17,802 | INFO     | recommender_system | Inici aplicacio. dataset=movies, metode=content
2026-05-27 10:54:17,802 | INFO     | recommender_system | Carregant dataset 'movies' des de CSV...
2026-05-27 10:54:17,814 | INFO     | recommender_system.MovieLensDataset | CSV de pel·lícules carregat correctament: 9742 items des de '/home/e.bfabregaf/code/prog/projecte/projectePA/dataset/MovieLens100k/movies.csv'.
2026-05-27 10:54:17,909 | INFO     | recommender_system.MovieLensDataset | CSV de valoracions carregat correctament: 100836 valoracions, 610 usuaris únics des de '/home/e.bfabregaf/code/prog/projecte/projectePA/dataset/MovieLens100k/ratings.csv'.
2026-05-27 10:54:17,912 | INFO     | recommender_system | Inicialitzant recomanador 'content'...
2026-05-27 10:54:17,912 | INFO     | recommender_system.ContentBasedRecommender | Preparant ContentBasedRecommender per al dataset 'movies'...
2026-05-27 10:54:17,915 | INFO     | recommender_system.ContentBasedRecommender | Caché HIT — carregat des de: /home/e.bfabregaf/code/prog/projecte/projectePA/dataset/cache/content_movies.pkl
2026-05-27 10:54:17,915 | INFO     | recommender_system.ContentBasedRecommender | ContentBasedRecommender carregat des de caché (9742 ítems indexats, 24 característiques TF-IDF).
2026-05-27 10:54:22,516 | INFO     | recommender_system | Accio Comparar tots els metodes per usuari 1.
2026-05-27 10:54:22,516 | INFO     | recommender_system.SimpleRecommender | Preparant SimpleRecommender per al dataset 'movies' (min_votes=10)...
2026-05-27 10:54:22,519 | INFO     | recommender_system.SimpleRecommender | Caché HIT — carregat des de: /home/e.bfabregaf/code/prog/projecte/projectePA/dataset/cache/simple_movies_minvotes10.pkl
2026-05-27 10:54:22,520 | INFO     | recommender_system.SimpleRecommender | SimpleRecommender carregat des de caché (2269 ítems puntuats).
2026-05-27 10:54:22,520 | INFO     | recommender_system.CollaborativeRecommender | Preparant CollaborativeRecommender per al dataset 'movies' (k=5)...
2026-05-27 10:54:22,521 | INFO     | recommender_system.CollaborativeRecommender | Caché HIT — carregat des de: /home/e.bfabregaf/code/prog/projecte/projectePA/dataset/cache/collaborative_movies_k5.pkl
2026-05-27 10:54:22,521 | INFO     | recommender_system.CollaborativeRecommender | CollaborativeRecommender carregat des de caché (610 usuaris, 610 amb veïns).
2026-05-27 10:54:22,521 | INFO     | recommender_system.ContentBasedRecommender | Preparant ContentBasedRecommender per al dataset 'movies'...
2026-05-27 10:54:22,523 | INFO     | recommender_system.ContentBasedRecommender | Caché HIT — carregat des de: /home/e.bfabregaf/code/prog/projecte/projectePA/dataset/cache/content_movies.pkl
2026-05-27 10:54:22,523 | INFO     | recommender_system.ContentBasedRecommender | ContentBasedRecommender carregat des de caché (9742 ítems indexats, 24 característiques TF-IDF).
2026-05-27 10:54:43,320 | INFO     | recommender_system | Accio Recomanar per usuari 1.
2026-05-27 10:54:50,420 | INFO     | recommender_system | Accio Avaluar per usuari 1.
2026-05-27 10:55:00,542 | INFO     | recommender_system | Sortida des del menu d'accions.
