2026-05-25 19:11:26,356 | DEBUG    | recommender_system | Logger inicialitzat. Fitxer de log: /home/e.bfabregaf/code/prog/projecte/projectePA/logs/log_20260525-191126.txt
2026-05-25 19:11:26,357 | INFO     | recommender_system | Inici aplicacio. dataset=movies, metode=content
2026-05-25 19:11:26,357 | INFO     | recommender_system | Carregant dataset 'movies' des de CSV...
2026-05-25 19:11:26,368 | INFO     | recommender_system.MovieLensDataset | CSV de pel·lícules carregat correctament: 9742 items des de '/home/e.bfabregaf/code/prog/projecte/projectePA/dataset/MovieLens100k/movies.csv'.
2026-05-25 19:11:26,482 | INFO     | recommender_system.MovieLensDataset | CSV de valoracions carregat correctament: 100836 valoracions, 610 usuaris únics des de '/home/e.bfabregaf/code/prog/projecte/projectePA/dataset/MovieLens100k/ratings.csv'.
2026-05-25 19:11:26,484 | INFO     | recommender_system | Inicialitzant recomanador 'content'...
2026-05-25 19:11:26,484 | INFO     | recommender_system.ContentBasedRecommender | Preparant ContentBasedRecommender per al dataset 'movies'...
2026-05-25 19:11:26,488 | INFO     | recommender_system.ContentBasedRecommender | Caché HIT — carregat des de: /home/e.bfabregaf/code/prog/projecte/projectePA/dataset/cache/content_movies.pkl
2026-05-25 19:11:26,488 | INFO     | recommender_system.ContentBasedRecommender | ContentBasedRecommender carregat des de caché (9742 ítems indexats, 24 característiques TF-IDF).
2026-05-25 19:11:29,735 | INFO     | recommender_system | Accio Recomanar per usuari 1.
2026-05-25 19:11:35,732 | INFO     | recommender_system | Accio Avaluar per usuari 2.
2026-05-25 19:11:39,054 | INFO     | recommender_system | Accio Avaluar per usuari 1.
2026-05-25 19:11:47,107 | INFO     | recommender_system | Sortida de l'aplicacio per entrada buida de user_id.
